gene,ACC,BLCA,BRCA,CESC,CHOL,COAD,DLBC,ESCA,GBM,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,OV,PAAD,PCPG,PRAD,READ,SARC,SKCM,STAD,TGCT,THCA,THYM,UCEC,UCS
ABCB5,0.032653734045467155,-0.2662270134260749,-1.3305951510062868,-0.3847470741410591,0.07665464179073504,-0.41639458812275393,-1.323110143234297e-09,-0.014201488416489605,0.03360530018870936,-8.139283836420402e-05,-0.007685508756590601,0.0160689172803984,0.014720591712087103,0.016675186144842365,4.407987000327307e-10,0.015558358508372143,-0.05757500007947159,-0.05702709228775571,0.0328980507797673,0.1778962144546959,7.837695583919962e-11,0.0147178703133128,-0.4182334116887795,0.09902959873936262,3.311938784700783,-0.010308814810451594,-0.5716601957885077,-0.03172930035447049,-1.4104293041158558e-09,-0.2021996359838875,-0.18309198421028994
ABCB6,0.2928162171654751,-0.676961634468161,0.0034136963144995036,0.42780412210698504,0.21419564092983912,-0.11566786000018237,1.1857548262298274,-0.15006458045478865,-0.02583830120050301,0.5315976040825436,-2.194937273018302,1.4492429422210757,0.7417608592539073,-1.7138207815666404,0.43511627320607804,1.075433345615707,0.386565350693286,0.9153337179228505,-1.9746745563859616,1.4750041674973686,0.5167558285685194,0.11347178390477453,-0.11459617712439218,0.1270595177021292,0.7672105422478257,-0.17734139522860604,-1.9992393574949272,-1.2849553630909956,2.6206848334432573,0.33660839685470734,0.3338163195956225
ABCB8,0.05810642567117785,0.5266509909248827,0.5771263380836817,0.010830258250147828,0.7958268424988053,0.3598709776669482,1.6856296532633128,0.1399241650023253,0.7644942672447606,0.31994140386233916,-0.1298912033215851,-0.359948321133289,0.27475912650932166,-1.2397814284778548,0.4085370901703742,0.6426277922918104,0.03295961367504141,-0.11416192321813057,-0.5619987352336961,1.3467641418028569,-0.20257885020089805,-0.10308914644022948,0.2600888547521283,0.196882425500295,0.8654705977810293,0.6364987971375422,0.3689597464451424,-0.7804223086612003,1.868152398983454,-0.492050953168663,-0.7099216552644982
ABCB11,-0.015635143340449426,-0.0159933591023528,-0.1732718983226321,0.0009226376564574999,-2.8184732420210854,-0.0631091539400313,-1.4130314472004619e-09,0.0314355426143364,-5.047869204320016e-05,-0.030179394940211296,2.1874854415724805e-10,-7.72184366212823e-11,-4.953522530509062e-11,-0.060744707689078796,4.4868421842998024e-05,-0.9101190801767749,0.0163777852169597,0.016980172933921296,0.01625018109997966,0.07829510627668511,-0.03133596559409536,0.00015001189445720126,-0.015127221944241098,-0.007830858576408178,-0.17585117580150286,0.020638513761317104,-2.3397786020076663,-0.016349935232053536,-1.7376682947618793e-09,-2.7435218054137294e-10,0.016070856210500657
ABCC1,0.08148964296588135,-0.41414210643921345,0.35875913395577586,0.3395706451356433,2.9277724308557502,0.5190225327071554,1.5320816578895977,0.5239759554224408,1.1726928359783038,0.8037630390393486,-0.2592004543148918,0.705896742763803,0.5890948775566671,1.455907512199147,0.752702540432566,0.32201576361426065,-0.13019560475216174,1.2363534205696158,0.3524646288481015,1.7520929256052162,0.2007476336824836,0.016867275645100044,0.4098586830829838,0.8512011037980618,-0.21127811086068204,0.874697801161016,-0.4655611414995322,-1.2342858732188287,1.9643464739919474,0.5997460691372831,0.04192332389060072
ABCC2,-0.2210184463228355,-0.35307884151215807,-0.48415669025560965,-0.44322506780709425,-2.9529194500429474,0.15115723679950166,-0.3091929560009026,0.13986381974643564,0.0007791005160388831,0.15427865488216852,-1.5564713932537662,0.6276498751434554,-1.919895966173497,1.1217992782090322,0.030981870879102702,-0.24931666566670962,-0.33780047881064795,-0.33871100534156534,-0.2946149013985712,-0.24548570537736347,-0.07340400552874801,-0.2904263468967083,0.07759651559925496,-2.2112957738827577,1.518875745337614,-0.0212930954163304,-0.0010169382672622351,-0.5256571897510713,-0.10330789615039937,-0.47453915813953823,-0.5322004359798151
ABCC3,-2.8924895627081444,0.012448200039754553,-0.7985895431238186,0.011422406423163611,2.0887281542683898,1.5544856745368243,1.4200818164846027,2.4177382421763927,3.6905901155793064,0.40152512312616384,-2.7167141956118295,2.5283209216288958,2.2224462130220783,0.7747411261857917,0.1370433893825418,-0.874606402560528,1.4470392474026488,-1.0856612426351968,-0.21057027881423274,1.0376556534539727,-6.045658736039821,-2.5986079905761255,2.2565837295519557,-0.13389145135782088,-3.8054481210562816,0.43980198198365716,-1.370433357746855,0.21488675882845154,0.03720738716129146,1.4812738669450942,-0.10638735317521153
ABCC4,0.18685170741692136,-1.7186866728351764,0.08690380997877245,-0.17934575224346228,2.9079641056570313,-0.2969052077061174,0.7743693258266711,1.4106672703295062,1.782809836559571,0.7393774541710298,0.15347873846426952,0.08716211192297418,0.9576354920565078,-0.9619639449658961,1.8692114197248735,0.90318478763636,0.06253767869008531,-0.15701634964355327,0.9815787431533667,1.2849576157137248,1.4379129971328553,2.7896908414705006,-0.21445712188505617,-1.1023696292561218,-0.23717804926636554,0.8109359180744029,0.29694952321990753,-0.7918277686235076,0.4136991671226954,0.04226538322279305,0.43370573241715826
ABCC5,-0.7872908711651587,-0.09696545356969999,0.6035335612913082,0.11234760009146427,2.3162882546965218,-1.0526368639584263,0.1966989706073754,-0.2820386114552518,-0.8619334823348028,0.9691848017556062,0.33783546984031254,-0.7951965128598779,-0.3719854807395402,-0.23846769990075245,-0.49409415723795824,0.3865942906669566,-0.23709508151843828,2.2120356805557195,-1.0575512463745982,1.1352061848633528,1.2965841673322043,-0.8851345530044923,-1.173453120807137,0.7137445423092648,0.054281984788794535,-1.3766100713856306,-0.6090543041192538,-2.080890454583701,1.6542239537052614,-1.099609984210565,-0.8489793149647253
ABCC6,-0.3934174628170841,-0.1345656498637034,-0.527277112059821,0.0174756656741214,-1.5488881224369528,1.090091433848544,-0.2284141602053271,0.8701040741092044,0.7229970879709887,0.015488798062676001,-2.542631762128807,-0.030886016024333607,0.4940171280902481,2.5376422985081217,0.8759991870854742,0.33599564895278355,0.17596589709245514,-2.140139112230488,0.8790293730997858,-0.9295179993431795,-0.4851920572510743,-0.7412802003005592,1.5531840168525837,-4.053431626907601,-0.3307780208634528,0.27811505319010976,-0.3110197546120953,0.5199628927691196,0.0007025311104216225,1.1476027057046814,1.6153410549498248
